timestamp,latitude,longitude,no2_ugm3,pm10_ugm3,pm2_5_ugm3,o3_ugm3,temperature_degC,humidity_percent,is_anomaly,noise,wind_speed_ms,rain_mm,solar_radiation_wm2
2/8/2021 12:00,49.12716318,9.2144832,63.17,25.38,14.78,66.82,19.51,73.16,1,63.21,3.42,0,778.91
2/9/2021 12:00,49.12716318,9.2144832,39.74,28.16,16.87,63,19.39,64.41,0,64.77,5.45,0,751.63
2/10/2021 12:00,49.12716318,9.2144832,34.65,24.77,14.32,64.72,13.78,69.2,0,56.64,4.52,0,791.52
2/11/2021 12:00,49.12716318,9.2144832,32.59,23.4,13.3,68.86,17.18,73.17,0,41.26,5.17,0,817.76
2/12/2021 12:00,49.12716318,9.2144832,33.72,24.15,13.86,66.08,11.72,81.98,0,51.6,4.3,0,804.45
2/13/2021 12:00,49.12716318,9.2144832,38.54,27.36,16.27,66.99,17.06,53.5,0,40,3.31,0,794.34
2/14/2021 12:00,49.12716318,9.2144832,35.34,25.23,14.67,62.65,18.89,75.58,0,50.95,0.88,0,888.15
2/15/2021 12:00,49.12716318,9.2144832,39.57,28.04,16.78,65.13,18.23,65.97,0,44.35,1.73,0.4,841.39
2/16/2021 12:00,49.12716318,9.2144832,35.38,21.12,14.69,63.71,17.84,77.71,1,59.96,2.06,0.37,855.84
2/17/2021 12:00,49.12716318,9.2144832,37.61,26.74,15.81,47.14,18.73,73.29,0,49.59,3.18,,801.7
2/18/2021 12:00,49.12716318,9.2144832,33.65,24.1,13.83,64.28,18.62,64.71,0,61.07,4.33,0,832.69
2/19/2021 12:00,49.12716318,9.2144832,35.45,25.3,14.73,69.45,18.22,64.61,0,54,3.24,0.21,825.11
2/20/2021 12:00,49.12716318,9.2144832,33.48,23.99,13.74,69.81,15.15,73.84,0,61.57,2.77,0,853.24
2/21/2021 12:00,49.12716318,9.2144832,39.66,28.11,16.83,58.88,19.01,75.83,0,51.83,4.42,0,842.55
2/22/2021 12:00,49.12716318,9.2144832,36.43,25.95,15.22,70.8,18.79,77.09,0,44.13,3.14,5.46,806.93
2/23/2021 12:00,49.12716318,9.2144832,33.04,23.7,13.52,74.36,17.34,82.38,0,54.34,2.18,0,858.78
2/24/2021 12:00,49.12716318,9.2144832,35.7,25.47,14.85,57.21,18.08,72.02,0,42.21,2.48,0,833.57
2/25/2021 12:00,49.12716318,9.2144832,33.53,24.02,13.76,63.88,20.65,66.76,0,70.14,1.01,0,856.61
2/26/2021 12:00,49.12716318,9.2144832,40.64,28.76,17.32,70.73,19.49,65.83,0,49.09,4.6,0,772.5
2/27/2021 12:00,49.12716318,9.2144832,38.1,27.06,16.05,72.51,13.98,70.56,0,51.18,2.07,0,878.72
2/28/2021 12:00,49.12716318,9.2144832,34.01,24.34,14.01,77.71,20.17,77.8,0,61,2.71,0,889.56
3/1/2021 12:00,49.12716318,9.2144832,34.96,24.97,14.48,55.23,16.65,75.87,0,41.12,2.88,0,824.4
3/2/2021 12:00,49.12716318,9.2144832,32.68,23.45,13.34,66.35,17.64,81.09,0,62.03,1.7,0,831.79
3/3/2021 12:00,49.12716318,9.2144832,36.07,25.71,15.03,64.7,19.83,73.61,0,40,2.95,0,824.68
3/4/2021 12:00,49.12716318,9.2144832,36.13,25.75,15.07,70.76,18.3,72.76,0,57.42,3.69,0.76,914.9
3/5/2021 12:00,49.12716318,9.2144832,31.47,22.65,12.73,80.25,19.7,77.04,0,58.12,3.4,0,878.34
3/6/2021 12:00,49.12716318,9.2144832,35.43,25.29,14.72,71.75,17.91,72.56,0,63.45,3.85,0,912.97
3/7/2021 12:00,49.12716318,9.2144832,,25.41,14.8,72.58,20.18,69.63,1,65.12,3.07,0,823.58
3/8/2021 12:00,49.12716318,9.2144832,37.95,26.97,15.97,70.2,20.52,72.13,0,56.07,3.52,0,840.87
3/9/2021 12:00,49.12716318,9.2144832,34.96,24.97,14.48,69.95,21.6,67.94,0,40.99,3.61,0.07,873.28
3/10/2021 12:00,49.12716318,9.2144832,32.84,23.56,13.42,79.63,15.17,80.91,0,50.52,2.97,0.07,901.51
3/11/2021 12:00,49.12716318,9.2144832,35.11,25.07,14.56,66.23,20.83,78.35,0,58.64,2.29,0,863.04
3/12/2021 12:00,49.12716318,9.2144832,33.42,23.95,13.71,67.01,19.7,71.61,0,67.92,0.49,0,937.7
3/13/2021 12:00,49.12716318,9.2144832,33.87,24.24,13.93,55.41,15.82,77.29,0,55.43,5.04,0,913.38
3/14/2021 12:00,49.12716318,9.2144832,34.68,24.79,14.34,84.43,20.12,68.57,0,54.47,2.44,0,873.31
3/15/2021 12:00,49.12716318,9.2144832,65.49,28.13,16.85,64.02,15.73,71.66,1,56.01,0.48,0,847.44
3/16/2021 12:00,49.12716318,9.2144832,37.04,26.36,15.52,72.51,16.52,63.34,0,60.63,1.12,0,888.41
3/17/2021 12:00,49.12716318,9.2144832,37.63,26.75,15.81,70.86,18.06,77.58,0,,3.1,0,897.29
3/18/2021 12:00,49.12716318,9.2144832,36.55,26.03,15.27,67.88,17.03,74.49,0,71.49,5.04,0.03,869.4
3/19/2021 12:00,49.12716318,9.2144832,32.12,23.08,13.06,69.48,18.57,70.56,0,61.92,1.4,0,849.47
3/20/2021 12:00,49.12716318,9.2144832,38.01,27.01,16,57.61,19.42,69.56,0,57.04,4.09,0,901.26
3/21/2021 12:00,49.12716318,9.2144832,32.35,23.23,13.17,76.46,20.08,80.78,0,49.48,6.69,0,840.53
3/22/2021 12:00,49.12716318,9.2144832,35.23,25.15,14.61,67.59,20.21,65.36,0,40.34,2.04,0,899.72
3/23/2021 12:00,49.12716318,9.2144832,34.85,24.9,14.42,64.65,25.15,65.11,0,51.23,2.81,0,903.74
3/24/2021 12:00,49.12716318,9.2144832,33.55,24.04,13.78,68.65,20.12,61.74,0,60.51,5.11,0,892.93
3/25/2021 12:00,49.12716318,9.2144832,37.41,26.61,15.71,66.39,20.71,77.14,0,60.99,2.56,0,873.59
3/26/2021 12:00,49.12716318,9.2144832,36.72,26.14,15.36,69.19,20.01,69.47,0,59.05,2.29,0,911.21
3/27/2021 12:00,49.12716318,9.2144832,39.14,27.76,16.57,75.28,18.86,76.05,0,61.79,4.12,0,896.18
3/28/2021 12:00,49.12716318,9.2144832,31.64,22.76,12.82,64.94,17.65,86.05,0,53.97,3.91,0,936.2
3/29/2021 12:00,49.12716318,9.2144832,42.91,30.27,18.45,61.37,19.36,68.9,0,63.5,2.56,0,919.48
3/30/2021 12:00,49.12716318,9.2144832,35.23,25.16,14.62,78.73,18.79,83.44,0,73.9,2.98,0,876.76
3/31/2021 12:00,49.12716318,9.2144832,38.11,27.58,16.43,64.43,21.3,69.46,1,53.43,2.9,0.46,903.82
4/1/2021 12:00,49.12716318,9.2144832,35.8,31.9,14.9,66.11,18.61,80.39,1,59.4,4.12,0,840.67
4/2/2021 12:00,49.12716318,9.2144832,,24.91,14.43,67.33,24.9,75.95,1,56.59,3.66,0,875.88
4/3/2021 12:00,49.12716318,9.2144832,38.15,27.1,16.08,65.6,22.44,68.18,0,60.91,4.5,2.31,907.12
4/4/2021 12:00,49.12716318,9.2144832,38.12,27.08,16.06,67.98,19.52,74.98,0,66.04,1.62,0.31,947.79
4/5/2021 12:00,49.12716318,9.2144832,38.69,27.46,16.35,70.28,20.32,69.04,0,56.14,2.49,0,987.5
4/6/2021 12:00,49.12716318,9.2144832,36.95,26.3,15.47,65.43,17.2,71.05,0,53.43,1.59,0,950.63
4/7/2021 12:00,49.12716318,9.2144832,41.13,29.09,17.57,72.29,18.86,80.96,0,52.83,3.73,0,912.22
4/8/2021 12:00,49.12716318,9.2144832,30.12,21.74,12.06,67.55,20.74,76.74,0,55.5,1.69,0,909.74
4/9/2021 12:00,49.12716318,9.2144832,37.25,26.5,15.63,65.23,18.81,62.28,0,53.41,2.96,0,878.59
4/10/2021 12:00,49.12716318,9.2144832,35.12,25.08,14.56,66.75,20.21,81.47,0,44.91,3.39,0,896.76
4/11/2021 12:00,49.12716318,9.2144832,37.4,26.6,15.7,69.64,17.9,64.14,0,59.72,3.5,0,867.61
4/12/2021 12:00,49.12716318,9.2144832,35.37,25.25,14.69,69.18,19.93,74.66,0,54.71,4.15,0,904.95
4/13/2021 12:00,49.12716318,9.2144832,41.13,29.08,17.56,70.71,20.6,70.45,0,43.5,4.22,0,891.1
4/14/2021 12:00,49.12716318,9.2144832,32.83,23.56,13.42,77.14,16.65,76.96,0,64.3,3.09,0,923.74
4/15/2021 12:00,49.12716318,9.2144832,35.9,25.6,14.95,57.57,19.09,70.03,1,51.32,6.14,0,896.64
4/16/2021 12:00,49.12716318,9.2144832,36.66,26.11,15.33,66.83,20.27,75.65,0,57.26,0,0,873.24
4/17/2021 12:00,49.12716318,9.2144832,33.12,23.75,13.56,69.32,19.67,76.01,0,46.56,5.02,0,848.02
4/18/2021 12:00,49.12716318,9.2144832,34.06,24.37,14.03,67.18,20.71,62.35,0,59.59,2.79,0,949.98
4/19/2021 12:00,49.12716318,9.2144832,39.94,,16.97,58.15,19.69,69.61,1,59.94,3.34,0,889.34
4/20/2021 12:00,49.12716318,9.2144832,33.89,24.26,13.95,62.49,20.54,69.01,0,64.22,6.64,0,913.5
4/21/2021 12:00,49.12716318,9.2144832,34.04,24.36,14.02,68.22,19.17,77.72,0,71.1,0.69,0,906.07
4/22/2021 12:00,49.12716318,9.2144832,37.22,26.48,15.61,66.76,21.07,68.64,0,71.1,8.37,0,919.49
4/23/2021 12:00,49.12716318,9.2144832,31.39,22.6,12.7,66.44,18.54,67.88,0,56.86,1.59,0,927.15
4/24/2021 12:00,49.12716318,9.2144832,40.18,28.45,17.09,60.7,16.02,79.37,0,63.01,4.34,0,856.58
4/25/2021 12:00,49.12716318,9.2144832,35.25,25.17,14.62,63.22,19.1,69.49,0,49.81,0.46,0,887.1
4/26/2021 12:00,49.12716318,9.2144832,36.11,25.74,15.06,70.95,18.27,71.04,0,55.83,1.29,0,867.98
4/27/2021 12:00,49.12716318,9.2144832,39.8,28.2,16.9,58.78,20.29,66.94,0,56.84,3.39,1.31,857.45
4/28/2021 12:00,49.12716318,9.2144832,37.54,26.7,15.77,73.63,17.27,74.11,0,63.28,2.03,0,873.39
4/29/2021 12:00,49.12716318,9.2144832,39.98,28.32,16.99,78.05,19.54,84.13,0,67.53,1.99,0,888.02
4/30/2021 12:00,49.12716318,9.2144832,36.02,25.68,15.01,59.93,18.05,60.88,0,61.08,4.69,0,901.64
5/1/2021 12:00,49.12716318,9.2144832,35.23,25.15,14.62,73.32,20.72,74.57,0,53.18,4.99,0,869.25
5/2/2021 12:00,49.12716318,9.2144832,35.33,25.22,14.66,72.46,21.21,73.64,0,58.61,4.17,0,786.3
5/3/2021 12:00,49.12716318,9.2144832,39.21,27.81,27.86,68.7,21.23,74.28,1,65.3,4.08,0,858.83
5/4/2021 12:00,49.12716318,9.2144832,34.58,24.72,14.29,76.95,20.2,74.8,0,54.7,3.16,0,841.78
5/5/2021 12:00,49.12716318,9.2144832,35.39,25.26,14.7,66.36,18.63,77.36,0,65.55,4.8,0,789.34
5/6/2021 12:00,49.12716318,9.2144832,35.2,25.13,14.6,64.18,22.68,66.51,0,69.56,2.3,4.7,860.41
5/7/2021 12:00,49.12716318,9.2144832,36.02,25.68,15.01,67.57,18.05,74.67,0,57.11,1.87,1.38,750.57
5/8/2021 12:00,49.12716318,9.2144832,35.44,25.29,14.72,67.58,18.84,84.02,0,54.09,2.25,0,841.1
5/9/2021 12:00,49.12716318,9.2144832,39.48,27.99,16.74,53.57,17.33,70.42,0,67.26,7,0,856.01
5/10/2021 12:00,49.12716318,9.2144832,27.46,,16.33,65.43,19.1,69.21,1,52.74,0.89,0,762.26
5/11/2021 12:00,49.12716318,9.2144832,35.51,25.34,14.76,67.11,16.21,65.34,0,,4.23,0,798.4
5/12/2021 12:00,49.12716318,9.2144832,35.03,25.02,14.51,65.45,17.76,75.49,0,52.64,2.87,0,850.19
5/13/2021 12:00,49.12716318,9.2144832,33.23,23.82,13.61,70.23,14.86,68.11,0,66.16,4.12,0,821.52
5/14/2021 12:00,49.12716318,9.2144832,35.06,25.04,14.53,59.51,16.06,69.32,0,57.72,2.01,0.4,861.05
5/15/2021 12:00,49.12716318,9.2144832,33.28,23.85,13.64,68,21.76,67.04,0,47.08,0.71,0,803.57
5/16/2021 12:00,49.12716318,9.2144832,37.5,26.66,15.75,48.77,20.41,70.83,0,61.84,3.93,0,835.06
5/17/2021 12:00,49.12716318,9.2144832,36.47,25.98,15.23,67.4,22.67,68.51,0,44.64,1.15,0,787.99
5/18/2021 12:00,49.12716318,9.2144832,38.93,27.62,16.46,67.85,19.21,62.14,0,47.91,4.54,0,825.72
5/19/2021 12:00,49.12716318,9.2144832,36.67,26.11,15.33,57.5,17.55,73.9,0,44.26,2.15,0,844.68
5/20/2021 12:00,49.12716318,9.2144832,35.17,25.11,14.59,62.87,17.74,63.72,0,57.87,1.87,0,830.79
5/21/2021 12:00,49.12716318,9.2144832,37.12,26.41,15.56,65.42,16.6,65.25,0,61.32,3.82,4.21,801.2
5/22/2021 12:00,49.12716318,9.2144832,31.02,22.35,12.51,66.67,17.92,68.33,0,53.35,4.48,0,791.52
5/23/2021 12:00,49.12716318,9.2144832,35.67,25.45,14.84,69.93,20.98,59.28,0,43.84,1.22,0,779.88
5/24/2021 12:00,49.12716318,9.2144832,33.78,24.19,13.89,56.88,15.65,70.96,0,60.61,4.28,0,808.89
5/25/2021 12:00,49.12716318,9.2144832,35.31,25.2,14.65,78.16,15.1,78.83,0,55.29,0,0,775.4
5/26/2021 12:00,49.12716318,9.2144832,35.93,25.62,14.96,58.26,15.03,76.1,0,41.39,5.67,0,770.01
5/27/2021 12:00,49.12716318,9.2144832,35.7,25.46,14.85,71.42,14.44,74.78,0,63.27,1.83,0,837.4
5/28/2021 12:00,49.12716318,9.2144832,27.58,20.05,10.79,69.67,14.27,83.89,0,68.91,3.33,0,765.59
5/29/2021 12:00,49.12716318,9.2144832,32.62,23.41,13.31,53.09,16.63,66.23,0,43.77,1.61,0,796.8
5/30/2021 12:00,49.12716318,9.2144832,30.6,22.07,12.3,62.27,14.97,68.23,0,58.6,3.28,0,781.45
5/31/2021 12:00,49.12716318,9.2144832,31.36,22.57,12.68,59.29,18.45,67.37,0,53.11,2.56,0,763.29
6/1/2021 12:00,49.12716318,9.2144832,36.5,26,15.25,69.56,16.77,70.52,0,44.55,5.86,0,727.36
6/2/2021 12:00,49.12716318,9.2144832,34.24,24.49,14.12,63.03,16.32,72.71,0,52.66,2.82,0,852.69
6/3/2021 12:00,49.12716318,9.2144832,27.96,20.31,10.98,65.12,16.78,66.89,0,53.2,5.24,0,687.66
6/4/2021 12:00,49.12716318,9.2144832,36.25,25.83,15.12,68.32,13.04,70.63,0,55.12,3.04,0,719.44
6/5/2021 12:00,49.12716318,9.2144832,35.12,25.08,14.56,77.95,11.91,74.59,0,45.78,4.52,0,766.47
6/6/2021 12:00,49.12716318,9.2144832,35.95,25.63,14.98,61.47,14.79,62.5,0,48.87,2.14,0,785.03
6/7/2021 12:00,49.12716318,9.2144832,25.44,18.63,9.72,68.25,11.23,63.59,0,,4.96,4.55,779.92
6/8/2021 12:00,49.12716318,9.2144832,28.24,20.49,11.12,56.05,13.79,66.47,0,49.69,3.7,0,788.38
6/9/2021 12:00,49.12716318,9.2144832,32.06,23.04,13.03,61.84,13.99,71.88,0,55.79,,0,758.13
6/10/2021 12:00,49.12716318,9.2144832,34.54,24.69,14.27,65.57,16.29,72.07,0,51.43,4.53,0,743.34
6/11/2021 12:00,49.12716318,9.2144832,33.69,24.12,13.84,65.44,16.12,69.52,0,54.99,1.16,0,681.54
6/12/2021 12:00,49.12716318,9.2144832,34.76,24.84,14.38,60.41,12.73,63.38,0,71.75,0,0,739.07
6/13/2021 12:00,49.12716318,9.2144832,33.14,23.76,13.57,64.01,15.6,75.88,0,57.89,1.96,0,575.24
6/14/2021 12:00,49.12716318,9.2144832,32.86,23.57,13.43,75.63,16.84,69.5,0,58.97,3.89,0,721.05
6/15/2021 12:00,49.12716318,9.2144832,32.61,23.41,13.31,,15.16,70.53,1,51.13,1.72,0,698.58
6/16/2021 12:00,49.12716318,9.2144832,34.55,24.7,14.27,61.36,11.88,72.47,0,51.29,2.29,0,649.59
6/17/2021 12:00,49.12716318,9.2144832,30.42,21.95,12.21,58.36,13.11,67.11,0,47.39,5.83,0,661.24
6/18/2021 12:00,49.12716318,9.2144832,31.32,22.55,12.66,68.05,9.99,67,0,55.13,4.94,0,693.03
6/19/2021 12:00,49.12716318,9.2144832,35.78,25.52,14.89,57.18,12.58,70.27,0,47.72,4.13,0,732.76
6/20/2021 12:00,49.12716318,9.2144832,34.67,24.78,14.33,60.86,14.33,60.86,0,60.74,1.54,0,699.24
6/21/2021 12:00,49.12716318,9.2144832,31.98,22.98,12.99,52.51,13.96,62.47,0,47.38,1.06,0,726.78
6/22/2021 12:00,49.12716318,9.2144832,34.7,24.8,14.35,69.32,15.13,74.38,0,53.61,2.19,0.83,708.37
6/23/2021 12:00,49.12716318,9.2144832,34.77,24.84,14.38,62.76,16.37,65.6,0,55.35,,0,660.71
6/24/2021 12:00,49.12716318,9.2144832,27.86,20.24,10.93,55.14,11.4,71.1,0,45.06,5.1,0,626.72
6/25/2021 12:00,49.12716318,9.2144832,29.98,21.65,11.99,62.22,13.85,64.74,0,40,2.34,0,701.91
6/26/2021 12:00,49.12716318,9.2144832,32.58,23.38,13.29,63.58,11.13,66.3,0,59.59,0.27,0,663.79
6/27/2021 12:00,49.12716318,9.2144832,34.3,24.53,14.15,65.23,10.67,67.44,0,56.36,2.04,0,635.15
6/28/2021 12:00,49.12716318,9.2144832,28.77,20.85,11.38,48.92,10.27,67.1,0,54.98,1.85,0,630.74
6/29/2021 12:00,49.12716318,9.2144832,33.3,23.87,13.65,59.45,11.74,58.78,0,44.85,0.89,0,654.53
6/30/2021 12:00,49.12716318,9.2144832,34.91,24.94,14.46,71.25,8.57,67.73,0,52.64,4.7,0,657.3
7/1/2021 12:00,49.12716318,9.2144832,34.01,24.34,14,51.93,12.68,58.24,0,61.2,3.66,0,578.49
7/2/2021 12:00,49.12716318,9.2144832,30.27,21.85,12.14,60.87,9.07,64.82,0,46.18,1.92,0,671.23
7/3/2021 12:00,49.12716318,9.2144832,32.44,23.29,13.22,64.69,7.25,66.8,0,42.83,2.79,1.01,661.44
7/4/2021 12:00,49.12716318,9.2144832,32.81,23.54,13.41,60.36,10.9,66.54,0,55.46,1.86,4.83,575.53
7/5/2021 12:00,49.12716318,9.2144832,33.17,23.78,13.58,65.5,7.75,70.99,0,57.33,1.69,0,618.14
7/6/2021 12:00,49.12716318,9.2144832,33.74,24.16,13.87,59.5,12.58,55.4,0,57.33,3.32,0,608.75
7/7/2021 12:00,49.12716318,9.2144832,30.17,21.78,12.09,56.65,9.95,79.55,0,57.48,1.44,0,597.46
7/8/2021 12:00,49.12716318,9.2144832,30.5,22,12.25,64.86,7.28,75.57,0,54.27,4.56,0,555.76
7/9/2021 12:00,49.12716318,9.2144832,30.8,22.2,12.4,57.59,8.99,58.13,0,50.08,,0,620.76
7/10/2021 12:00,49.12716318,9.2144832,30.04,21.69,12.02,60.13,12.24,61.98,0,40,1.78,0,627.24
7/11/2021 12:00,49.12716318,9.2144832,26.51,19.34,10.26,62.9,7.21,59.56,0,51.71,0,0,611.32
7/12/2021 12:00,49.12716318,9.2144832,31.44,22.63,12.72,45.4,9.24,71.57,0,59.43,1.86,0,545.6
7/13/2021 12:00,49.12716318,9.2144832,35.46,25.31,14.73,54.03,10.07,62.2,0,52.11,4.71,0,573.93
7/14/2021 12:00,49.12716318,9.2144832,28.34,20.56,11.17,47.84,8.23,65.29,0,40,0,0,500.82
7/15/2021 12:00,49.12716318,9.2144832,28.36,20.57,,60.07,8.88,58.71,1,67.85,0,0,590.21
7/16/2021 12:00,49.12716318,9.2144832,29.26,21.18,11.63,62.48,4.94,71.28,0,46.82,3.7,0,570.77
7/17/2021 12:00,49.12716318,9.2144832,34.14,24.43,14.07,59.98,4.48,62.75,0,57.53,2.09,0,564.64
7/18/2021 12:00,49.12716318,9.2144832,36.2,25.8,15.1,62.8,11.91,49.73,0,40,2.88,0,619.04
7/19/2021 12:00,49.12716318,9.2144832,30.22,21.81,12.11,56.62,5.59,58.87,0,40,1.77,0,476.99
7/20/2021 12:00,49.12716318,9.2144832,67.02,23.32,13.24,54.62,10.1,56.81,1,48.86,1.99,0,595.72
7/21/2021 12:00,49.12716318,9.2144832,29.45,21.3,11.72,49.39,7.08,63.04,0,58.81,0,0,590.83
7/22/2021 12:00,49.12716318,9.2144832,31.14,22.42,12.57,48.53,10.36,61.65,0,58.57,4.39,0,540.2
7/23/2021 12:00,49.12716318,9.2144832,30.33,21.89,12.17,45.89,8.26,63.89,0,50.35,0,0,578.4
7/24/2021 12:00,49.12716318,9.2144832,27.69,20.12,10.84,70.64,6.89,54.94,0,40,2.16,0,459.25
7/25/2021 12:00,49.12716318,9.2144832,29.96,21.64,11.98,54.88,10.37,52.39,0,54.99,1.23,0,490.29
7/26/2021 12:00,49.12716318,9.2144832,32.45,23.3,13.22,61.17,6.08,69.85,0,59.76,1.9,0,492.86
7/27/2021 12:00,49.12716318,9.2144832,26.57,19.38,10.29,55.38,7.05,66.9,0,49.76,2.49,0,511.99
7/28/2021 12:00,49.12716318,9.2144832,29.18,21.12,11.59,54.57,3.06,66.25,0,40,1.44,0,477.99
7/29/2021 12:00,49.12716318,9.2144832,27.73,20.15,10.87,48.62,9.63,53.32,0,52.85,0,0,469.74
7/30/2021 12:00,49.12716318,9.2144832,30.93,22.28,12.46,44.76,6.99,57.93,0,40.75,2.27,0,502.25
7/31/2021 12:00,49.12716318,9.2144832,29.57,21.38,11.79,54.69,6.8,56.92,0,49.29,1.78,0,514.5
8/1/2021 12:00,49.12716318,9.2144832,31.49,22.66,12.75,47.89,6.41,68.4,0,46.41,0,0.08,510.87
8/2/2021 12:00,49.12716318,9.2144832,25.37,18.58,9.69,55.22,7.68,60.01,0,50.73,2.31,0,488.04
8/3/2021 12:00,49.12716318,9.2144832,26.8,19.53,20.7,49.72,7.79,60.43,1,51.04,0,0.38,527.91
8/4/2021 12:00,49.12716318,9.2144832,30.13,21.75,12.06,50.09,7.96,65.63,0,42.42,1.08,0,459.34
8/5/2021 12:00,49.12716318,9.2144832,32.29,23.2,13.15,50.97,9.31,60.02,0,40.36,0.42,0.47,429.69
8/6/2021 12:00,49.12716318,9.2144832,26.68,19.44,10.34,64.58,1.97,63.6,1,40,3.39,0,539.44
8/7/2021 12:00,49.12716318,9.2144832,31.05,22.36,12.52,58.33,8.58,58.12,0,40,0.44,0,487.11
8/8/2021 12:00,49.12716318,9.2144832,27.12,19.75,10.56,48.71,4.64,61.03,0,40,0,0,498.83
