Location,parameter,value,unit,parameter,value ,unit ,parameter,value,unit,datetimeUtc,timezone
Heilbronn,co,1400,µg/m3,no,19.5,µg/m3,no2,14.77,µg/m3,2021-11-14T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,20.3,µg/m3,no2,29.55,µg/m3,2021-11-16T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,28.3,µg/m3,no2,20.03,µg/m3,2021-11-17T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,15.3,µg/m3,no2,22.27,µg/m3,2021-11-18T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,10.7,µg/m3,no2,23.62,µg/m3,2021-11-19T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,7.3,µg/m3,no2,24.32,µg/m3,2021-11-20T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,3.5,µg/m3,no2,21.85,µg/m3,2021-11-21T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,2,µg/m3,no2,13.79,µg/m3,2021-11-22T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,4.5,µg/m3,no2,16.29,µg/m3,2021-11-23T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,6.9,µg/m3,no2,15.21,µg/m3,2021-11-23T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,2.4,µg/m3,no2,42.93,µg/m3,2021-11-23T02:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,9.5,µg/m3,no2,24.89,µg/m3,2021-11-24T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,11.9,µg/m3,no2,23.37,µg/m3,2021-11-25T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,16.6,µg/m3,no2,23.31,µg/m3,2021-11-25T01:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,9.8,µg/m3,no2,22.31,µg/m3,2021-11-25T03:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,10,µg/m3,no2,25.93,µg/m3,2021-11-25T04:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,12.2,µg/m3,no2,33.77,µg/m3,2021-11-25T05:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,10.6,µg/m3,no2,36.66,µg/m3,2021-11-25T06:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,8.2,µg/m3,no2,44.94,µg/m3,2021-11-25T07:00:00Z,Europe/Berlin
Heilbronn,co,700,µg/m3,no,6.6,µg/m3,no2,36.24,µg/m3,2021-11-25T08:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,7.3,µg/m3,no2,34.58,µg/m3,2021-11-25T09:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,6.1,µg/m3,no2,34.23,µg/m3,2021-11-25T10:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,6.2,µg/m3,no2,19.75,µg/m3,2021-11-26T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,3.9,µg/m3,no2,15.89,µg/m3,2021-11-27T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,6.1,µg/m3,no2,37.57,µg/m3,2021-11-27T01:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,3.6,µg/m3,no2,15.9,µg/m3,2021-11-28T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,4.1,µg/m3,no2,12.48,µg/m3,2021-11-30T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,1.6,µg/m3,no2,23.54,µg/m3,2021-11-30T01:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,1.8,µg/m3,no2,19.01,µg/m3,2021-12-03T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,0.7,µg/m3,no2,41.23,µg/m3,2021-12-05T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,2.8,µg/m3,no2,23.85,µg/m3,2021-12-06T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,9.2,µg/m3,no2,28.57,µg/m3,2021-12-12T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,10.7,µg/m3,no2,18.603,µg/m3,2021-12-13T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,26.1,µg/m3,no2,17.071,µg/m3,2021-12-14T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,22.3,µg/m3,no2,14.04,µg/m3,2021-12-16T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,17.2,µg/m3,no2,18.262,µg/m3,2021-12-16T01:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,11.9,µg/m3,no2,25.161,µg/m3,2021-12-19T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,15.5,µg/m3,no2,39.681,µg/m3,2021-12-20T00:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,10.2,µg/m3,no2,39.369,µg/m3,2021-12-21T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,11.1,µg/m3,no2,40.686,µg/m3,2021-12-21T01:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,14.2,µg/m3,no2,14.39,µg/m3,2021-12-22T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,8.6,µg/m3,no2,14.476,µg/m3,2021-12-26T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,15.1,µg/m3,no2,14.169,µg/m3,2021-12-28T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,14.5,µg/m3,no2,20.771,µg/m3,2021-12-30T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,6.1,µg/m3,no2,22.851,µg/m3,2021-12-31T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,0.4,µg/m3,no2,11.877,µg/m3,2022-01-01T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,0.4,µg/m3,no2,28.217,µg/m3,2022-01-09T00:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,0.8,µg/m3,no2,23.956,µg/m3,2022-01-10T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,5.2,µg/m3,no2,23.832,µg/m3,2022-01-12T00:00:00Z,Europe/Berlin
Heilbronn,co,600,µg/m3,no,8.6,µg/m3,no2,21.882,µg/m3,2022-01-16T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,20.7,µg/m3,no2,11.395,µg/m3,2022-01-17T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,21.7,µg/m3,no2,25.944,µg/m3,2022-01-20T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,18.8,µg/m3,no2,27.56,µg/m3,2022-01-22T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,13.5,µg/m3,no2,38.032,µg/m3,2022-01-23T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,15.9,µg/m3,no2,11.709,µg/m3,2022-01-26T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,19.6,µg/m3,no2,13.149,µg/m3,2022-01-30T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,13.2,µg/m3,no2,17.072,µg/m3,2022-01-30T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,8.8,µg/m3,no2,19.414,µg/m3,2022-02-01T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,13.8,µg/m3,no2,22.928,µg/m3,2022-02-04T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,12.6,µg/m3,no2,16.016,µg/m3,2022-02-05T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,15.6,µg/m3,no2,28.453,µg/m3,2022-02-07T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,15.5,µg/m3,no2,20.868,µg/m3,2022-02-11T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,10.4,µg/m3,no2,9.359,µg/m3,2022-02-14T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,8.9,µg/m3,no2,10.978,µg/m3,2022-02-18T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,5.9,µg/m3,no2,36.259,µg/m3,2022-02-20T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,6.6,µg/m3,no2,8.129,µg/m3,2022-02-26T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,6,µg/m3,no2,48.094,µg/m3,2022-03-07T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,4,µg/m3,no2,43.91,µg/m3,2022-03-09T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,5.2,µg/m3,no2,29.612,µg/m3,2022-03-10T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,1.6,µg/m3,no2,35.295,µg/m3,2022-03-11T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,1.8,µg/m3,no2,34.922,µg/m3,2022-03-12T00:00:00Z,Europe/Berlin
Heilbronn,co,600,µg/m3,no,2.4,µg/m3,no2,45.76,µg/m3,2022-03-12T01:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,8.1,µg/m3,no2,46.744,µg/m3,2022-03-14T00:00:00Z,Europe/Berlin
Heilbronn,co,600,µg/m3,no,23.4,µg/m3,no2,32.657,µg/m3,2022-03-15T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,49.4,µg/m3,no2,24.728,µg/m3,2022-03-16T00:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,89.3,µg/m3,no2,26.44,µg/m3,2022-03-17T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,45.1,µg/m3,no2,39.888,µg/m3,2022-03-21T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,32,µg/m3,no2,15.041,µg/m3,2022-03-22T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,5.6,µg/m3,no2,57.692,µg/m3,2022-03-22T01:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,1.3,µg/m3,no2,35.373,µg/m3,2022-03-26T00:00:00Z,Europe/Berlin
Heilbronn,co,600,µg/m3,no,2,µg/m3,no2,19.434,µg/m3,2022-03-27T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,35.6,µg/m3,no2,24.389,µg/m3,2022-03-28T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,101.6,µg/m3,no2,14.626,µg/m3,2022-03-30T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,123.1,µg/m3,no2,17.892,µg/m3,2022-03-30T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,150.6,µg/m3,no2,15.786,µg/m3,2022-03-31T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,116.7,µg/m3,no2,11.274,µg/m3,2022-04-01T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,98.8,µg/m3,no2,38.352,µg/m3,2022-04-01T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,51.5,µg/m3,no2,32.899,µg/m3,2022-04-02T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,27,µg/m3,no2,9.554,µg/m3,2022-04-02T01:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,33.3,µg/m3,no2,7.004,µg/m3,2022-04-03T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,31.1,µg/m3,no2,44.158,µg/m3,2022-04-04T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,38.4,µg/m3,no2,28.951,µg/m3,2022-04-06T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,51.6,µg/m3,no2,22.219,µg/m3,2022-04-07T00:00:00Z,Europe/Berlin
Heilbronn,co,600,µg/m3,no,46,µg/m3,no2,25.414,µg/m3,2022-04-10T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,33,µg/m3,no2,16.958,µg/m3,2022-04-10T01:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,29.4,µg/m3,no2,20.338,µg/m3,2022-04-11T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,27.3,µg/m3,no2,31.796,µg/m3,2022-04-12T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,13.3,µg/m3,no2,30.19,µg/m3,2022-04-12T01:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,17.6,µg/m3,no2,11.986,µg/m3,2022-04-13T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,18.5,µg/m3,no2,14.034,µg/m3,2022-04-14T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,7.1,µg/m3,no2,17.675,µg/m3,2022-04-15T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,3.8,µg/m3,no2,21.659,µg/m3,2022-04-16T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,3.8,µg/m3,no2,14.933,µg/m3,2022-04-16T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,4.4,µg/m3,no2,9.149,µg/m3,2022-04-17T00:00:00Z,Europe/Berlin
Heilbronn,co,600,µg/m3,no,1.9,µg/m3,no2,17.374,µg/m3,2022-04-18T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,3,µg/m3,no2,14.544,µg/m3,2022-04-20T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,5,µg/m3,no2,11.641,µg/m3,2022-04-22T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,1.3,µg/m3,no2,24.887,µg/m3,2022-04-23T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,5.1,µg/m3,no2,17.394,µg/m3,2022-04-23T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,12.8,µg/m3,no2,39.432,µg/m3,2022-04-24T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,7.9,µg/m3,no2,36.915,µg/m3,2022-04-25T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,7.1,µg/m3,no2,34.354,µg/m3,2022-04-27T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,6,µg/m3,no2,22.783,µg/m3,2022-04-29T00:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,5.6,µg/m3,no2,18.696,µg/m3,2022-04-30T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,18.2,µg/m3,no2,15.409,µg/m3,2022-04-30T01:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,5.4,µg/m3,no2,9.802,µg/m3,2022-05-01T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,18.5,µg/m3,no2,14.455,µg/m3,2022-05-02T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,20.9,µg/m3,no2,19.251,µg/m3,2022-05-03T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,5.4,µg/m3,no2,24.185,µg/m3,2022-05-04T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,12.4,µg/m3,no2,8.841,µg/m3,2022-05-05T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,11.8,µg/m3,no2,11.8,µg/m3,2022-05-06T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,2.5,µg/m3,no2,13.656,µg/m3,2022-05-07T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,4.2,µg/m3,no2,21.785,µg/m3,2022-05-09T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,9.2,µg/m3,no2,11.926,µg/m3,2022-05-09T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,13.1,µg/m3,no2,19.183,µg/m3,2022-05-09T02:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,20.1,µg/m3,no2,18.167,µg/m3,2022-05-10T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,27.6,µg/m3,no2,12.175,µg/m3,2022-05-10T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,22.8,µg/m3,no2,26.711,µg/m3,2022-05-11T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,20.7,µg/m3,no2,15.256,µg/m3,2022-05-12T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,16.5,µg/m3,no2,9.701,µg/m3,2022-05-13T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,11.5,µg/m3,no2,20.139,µg/m3,2022-05-15T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,15.1,µg/m3,no2,11.323,µg/m3,2022-05-17T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,9.6,µg/m3,no2,9.426,µg/m3,2022-05-17T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,6.7,µg/m3,no2,10.883,µg/m3,2022-05-18T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,7.5,µg/m3,no2,21.414,µg/m3,2022-05-19T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,9.2,µg/m3,no2,38.039,µg/m3,2022-05-19T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,6.7,µg/m3,no2,12.891,µg/m3,2022-05-19T02:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,6.3,µg/m3,no2,6.334,µg/m3,2022-05-19T03:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,17.2,µg/m3,no2,8.484,µg/m3,2022-05-19T04:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,18.2,µg/m3,no2,9.3,µg/m3,2022-05-19T05:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,14.6,µg/m3,no2,14.768,µg/m3,2022-05-23T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,11.5,µg/m3,no2,10.408,µg/m3,2022-05-24T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,16.8,µg/m3,no2,18.329,µg/m3,2022-05-24T01:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,6,µg/m3,no2,10.699,µg/m3,2022-05-25T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,6.6,µg/m3,no2,24.664,µg/m3,2022-05-26T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,8.8,µg/m3,no2,7.922,µg/m3,2022-05-27T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,4.8,µg/m3,no2,17.01,µg/m3,2022-05-29T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,3.3,µg/m3,no2,16.875,µg/m3,2022-05-30T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,3.5,µg/m3,no2,14.378,µg/m3,2022-06-01T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,2.9,µg/m3,no2,14.431,µg/m3,2022-06-02T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,3.9,µg/m3,no2,15.133,µg/m3,2022-06-03T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,6.1,µg/m3,no2,11.217,µg/m3,2022-06-04T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,4.7,µg/m3,no2,10.246,µg/m3,2022-06-05T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,6.5,µg/m3,no2,7.746,µg/m3,2022-06-06T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,7.6,µg/m3,no2,8.872,µg/m3,2022-06-07T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,7.9,µg/m3,no2,27.325,µg/m3,2022-06-08T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,11.8,µg/m3,no2,15.495,µg/m3,2022-06-09T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,10,µg/m3,no2,9.008,µg/m3,2022-06-10T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,12.7,µg/m3,no2,10.701,µg/m3,2022-06-12T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,4.2,µg/m3,no2,13.036,µg/m3,2022-06-13T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,11.5,µg/m3,no2,25.225,µg/m3,2022-06-14T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,2.4,µg/m3,no2,9.691,µg/m3,2022-06-14T01:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,1.3,µg/m3,no2,27.965,µg/m3,2022-06-15T00:00:00Z,Europe/Berlin
